Sport,Platform,Game_Moment,State,Audience_Age_Group,Mobile_Usage_%,Ad_Impressions_M,CTR_%,Engagement_Rate_%,Ad_Spend_M,Ad_Recall_%
NHL,YouTube,Post-Game,TX,35-54,80,252,2.23,5.7,14.18,11
NHL,Sports App,4th Quarter,NY,25-44,83,563,1.69,6.27,8.67,18
NBA,Connected TV,3rd Quarter,FL,18-34,76,208,2.12,5.33,24.48,9
NHL,Betting App,Pre-Game,TX,35-54,78,284,1.59,5.46,23.98,18
Soccer,Streaming,1st Quarter,PA,25-44,80,535,2.77,8.08,7.44,19
MLB,Connected TV,Pre-Game,FL,25-44,67,537,1.92,8.64,15.93,12
College Football,Streaming,1st Quarter,FL,25-44,69,595,3.33,10.09,11.53,13
NHL,Social Media,4th Quarter,GA,35-54,75,386,1.82,10.8,12.14,18
NHL,Betting App,3rd Quarter,PA,35-54,74,450,1.37,11.91,20.44,18
MLB,Sports App,Pre-Game,GA,18-49,62,438,2.59,11.48,18.02,18
NFL,Betting App,1st Quarter,PA,35-54,62,321,2.67,11.21,14.44,11
Soccer,Sports App,Pre-Game,NY,25-44,82,404,1.79,5.28,19.21,16
NBA,Betting App,3rd Quarter,TX,18-34,79,245,2.8,5.98,17.09,17
College Football,Betting App,3rd Quarter,GA,18-49,78,235,3.23,9.37,10.91,11
Soccer,Betting App,Halftime,FL,25-45,79,435,3.23,7.27,7.44,15
Soccer,Social Media,Pre-Game,PA,18-49,89,270,3.08,11.03,5.14,14
MLB,Social Media,4th Quarter,NY,18-34,78,383,1.98,11.6,11.46,14
NFL,Betting App,Pre-Game,OH,18-34,85,201,1.77,9.87,19.25,11
NFL,Social Media,2nd Quarter,PA,25-44,61,369,1.32,6.95,23.17,9
Soccer,Streaming,3rd Quarter,FL,25-44,65,565,2.56,5.57,12.39,7
Soccer,YouTube,Halftime,CA,18-49,75,293,3.12,7.25,8.73,19
MLB,Betting App,Halftime,TX,25-45,78,495,2.38,6.59,17.9,10
NFL,Social Media,Post-Game,CA,18-34,70,590,1.46,11.47,22.55,9
NHL,Streaming,Pre-Game,FL,25-45,76,151,3.49,11.76,16.17,17
NFL,Social Media,2nd Quarter,TX,18-49,79,301,2.13,11.21,22.02,7
NHL,Connected TV,Halftime,OH,18-49,75,248,3.44,6.99,11.11,8
Soccer,Sports App,3rd Quarter,PA,25-45,60,217,1.75,7.28,19.93,14
MLB,Social Media,Pre-Game,GA,25-45,86,520,2.66,6.75,16.8,12
College Football,Sports App,4th Quarter,GA,18-49,86,375,2.01,9.52,18.38,7
College Football,Betting App,3rd Quarter,GA,18-49,63,184,2.97,5.31,24.89,19
Soccer,YouTube,4th Quarter,TX,25-45,68,186,3.34,8.0,24.33,9
NHL,Social Media,Halftime,MI,35-54,80,565,3.16,7.22,8.39,15
NBA,Connected TV,1st Quarter,TX,25-44,74,491,2.02,6.78,10.91,16
NFL,Social Media,Pre-Game,TX,35-54,69,396,2.17,6.79,17.23,18
NBA,Social Media,Halftime,NY,25-45,60,413,2.81,10.57,22.8,13
NHL,Streaming,1st Quarter,GA,18-49,84,335,2.45,7.01,16.82,12
NFL,Betting App,1st Quarter,OH,18-49,87,250,2.4,10.39,9.32,11
NHL,Connected TV,3rd Quarter,GA,25-45,89,196,2.81,5.97,7.65,8
NHL,Streaming,4th Quarter,TX,18-34,83,468,2.2,10.21,10.02,16
College Football,Connected TV,Post-Game,MI,18-34,71,278,1.6,6.1,10.0,12
NFL,YouTube,3rd Quarter,PA,35-54,66,341,2.48,9.28,13.39,18
NBA,Sports App,3rd Quarter,OH,18-34,88,369,1.31,5.29,22.11,10
College Football,Betting App,1st Quarter,CA,35-54,66,249,1.6,8.04,12.97,16
Soccer,YouTube,Halftime,CA,25-45,69,399,3.35,8.51,15.79,19
NHL,Streaming,Pre-Game,FL,18-49,79,301,2.76,9.01,7.57,19
MLB,Sports App,3rd Quarter,FL,18-49,60,566,2.7,6.45,10.48,18
Soccer,Streaming,3rd Quarter,TX,25-44,62,364,1.36,7.23,21.9,16
Soccer,Streaming,2nd Quarter,PA,25-45,85,263,2.65,11.14,19.7,11
College Football,Social Media,Halftime,CA,35-54,68,557,3.06,11.93,13.25,8
NFL,Connected TV,3rd Quarter,FL,18-34,82,162,2.9,6.67,12.55,7
Soccer,Betting App,Pre-Game,OH,35-54,86,168,2.1,5.08,23.11,18
NFL,Betting App,4th Quarter,MI,25-45,78,516,1.39,5.64,17.05,10
MLB,YouTube,Halftime,NY,18-34,66,258,3.34,11.82,24.92,16
College Football,Sports App,Post-Game,NY,18-49,70,295,3.43,9.82,21.74,7
College Football,Connected TV,Post-Game,OH,35-54,67,319,2.11,11.24,7.93,19
College Football,Connected TV,2nd Quarter,GA,35-54,60,491,3.07,11.63,24.72,10
NHL,Connected TV,Halftime,MI,18-49,88,513,2.48,7.97,23.13,13
Soccer,Sports App,3rd Quarter,NY,25-44,87,275,1.33,5.83,7.35,15
NFL,Sports App,3rd Quarter,FL,18-34,87,518,1.39,8.7,13.73,16
NHL,YouTube,3rd Quarter,NY,35-54,75,523,3.33,11.43,10.06,9
NHL,Social Media,1st Quarter,MI,18-34,76,163,1.88,11.97,18.94,9
NFL,Sports App,Halftime,CA,25-45,83,305,1.97,6.19,17.94,14
NBA,Betting App,1st Quarter,FL,25-45,64,190,1.8,8.17,5.65,15
